correctness,accuracy@224,accuracy@224,accuracy@224,accuracy@224,accuracy@224,accuracy@288,accuracy@288,accuracy@288,accuracy@288,accuracy@288,basline * correctness
clean,10,10,10,10,10,10,10,10,10,10,0
0,10.01,10.03,10.06,10.04,10.06,65,63.94,62.54,52.92,61.78,0
0.1,10.02,10.04,10.04,10.02,10.06,51.17,67.11,59.86,50.35,52.06,9.786
0.2,10,10.04,12.55,10.09,10.24,66.25,46.11,58.64,56.44,45.99,19.572
0.3,10.31,10.07,10.13,10.47,58.85,60.5,55.14,47.29,44.08,53.96,29.358
0.4,10.11,10.58,10.42,27.22,10.05,59.57,60.05,65.46,59.87,59.46,39.144
0.5,10.19,10.15,12.19,11.04,43.15,67.71,47.36,58.3,60.59,56.68,48.93
0.6,45.86,43.24,54.79,10.28,11.1,61.59,61.99,65.9,51.9,68.31,58.716
0.7,92.33,92.89,97.18,42.53,94.92,70.47,63.06,61.59,69.12,54.11,68.502
0.8,97.52,97.25,97.11,97.38,96.11,64.93,56.75,60.53,62.29,64.95,78.288
0.9,97.67,97.69,97.7,97.61,97.6,68.83,68.04,66.83,72.2,59.3,88.074
1,97.69,97.7,97.69,97.7,97.7,66.94,66.94,66.94,66.94,66.94,97.86
